id,txnrefid,custno,acctno,channelcode,overallqual,grlivarea,garagecars,ageofhouse,saleprice
1000,18ba263b-25c0-4b25-a57d-531c8a8098ff,12341198,45671880,LOAN,7,1710,2,17,208500
1001,5c154349-6e96-4785-ac9a-414bdc5017d6,12341086,45671557,LOAN,6,1262,2,44,181500
1002,43ef5bc1-2ec8-4e74-ac17-ac33b429a47e,12341187,45671158,LOAN,7,1786,2,19,223500
1003,b0e41298-a0c3-4a0f-8e54-6be5523cfeae,12341242,45671999,LOAN,7,1717,3,105,140000
1004,ba177687-6c1c-4548-9481-ccb9b25eea07,12341047,45671584,LOAN,8,2198,3,20,250000
1005,fde0855f-c27c-466e-98dc-e62c14fb8420,12341241,45671267,LOAN,5,1362,2,27,143000
1006,f7f40882-25d4-4c21-9436-5c4510c7ff30,12341194,45671931,LOAN,8,1694,2,16,307000
1007,5f16b991-0bb8-4f85-94aa-ff61fd28019d,12341054,45671065,LOAN,7,2090,2,47,200000
1008,0afee730-f881-4694-9c7d-2e29fc8dc22a,12341168,45671018,LOAN,7,1774,2,89,129900
1009,dec83c71-b797-4357-8c9c-25a4d22af06e,12341092,45671898,LOAN,5,1077,1,81,118000
1010,b3f75525-595a-4409-b09a-e9705e604a93,12341029,45671165,LOAN,5,1040,1,55,129500
1011,9e95a501-6f7c-4bb0-bc98-b50dc537941e,12341150,45671072,LOAN,9,2324,3,15,345000
1012,bed5cb56-8de2-4297-8b45-4e797b0d5929,12341202,45671050,LOAN,5,912,1,58,144000
1013,c0fd8905-1f78-4ee2-83e7-14bc8e70f0b5,12341203,45671339,LOAN,7,1494,3,14,279500
1014,95b4bec6-f88b-469b-aa38-9d21f7a85386,12341130,45671404,LOAN,6,1253,1,60,157000
1015,9aed0b3e-641e-46e7-a928-4df26c6fe1e8,12341069,45671630,LOAN,7,854,2,91,132000
1016,d09743df-d348-4201-af35-6d13214e6c4a,12341247,45671978,LOAN,6,1004,2,50,149000
1017,af42b728-8acd-43c6-a3f9-f345d592dfc2,12341078,45671877,LOAN,4,1296,2,53,90000
1018,d1d9a4bf-30c1-4c5f-85b9-2d77e37a11e1,12341244,45671708,LOAN,5,1114,2,16,159000
1019,61f3fc90-878e-45ae-aee5-36b297b62cae,12341086,45671385,LOAN,5,1339,1,62,139000
1020,48d12210-0e28-4b04-a1d6-8a7116219eb6,12341213,45671433,LOAN,8,2376,3,15,325300
1021,b56ead73-9f4d-4f00-a3bb-a855d6a239b3,12341222,45671154,LOAN,7,1108,1,90,139400
1022,c223a3b6-5571-4387-a0e3-2da7977a4927,12341133,45671937,LOAN,8,1795,2,18,230000
1023,62f29375-dd49-4889-84b4-8d37b474705b,12341060,45671798,LOAN,5,1060,2,44,129900
1024,e887bda1-b75f-4fe9-9493-f93b94f43307,12341184,45671302,LOAN,5,1060,1,52,154000
1025,0d7afb03-669d-4598-a9e6-040920180efa,12341205,45671816,LOAN,8,1600,3,13,256300
1026,ac5937c4-eb5c-4f4c-83e6-8cfcb4a8af2e,12341201,45671636,LOAN,5,900,2,69,134800
1027,bdb9fb54-55b9-4cee-b9e1-e1b449de4578,12341035,45671823,LOAN,8,1704,3,13,306000
1028,263fafca-3558-44ed-93d7-db1c4919f074,12341060,45671283,LOAN,5,1600,1,63,207500
1029,a1888bae-9810-4c9b-9988-87e6d58f41ea,12341213,45671823,LOAN,4,520,1,93,68500
1030,88758b13-d881-4785-813a-69136ff3fd59,12341163,45671242,LOAN,4,1317,1,100,40000
1031,3f270006-fdd7-4ca7-8946-db535758a093,12341163,45671658,LOAN,5,1228,1,54,149350
1032,3cbe9e38-a83f-4358-8f5e-240b7ca4af7b,12341062,45671951,LOAN,8,1234,2,13,179900
1033,31a88c21-9f02-4757-9ee5-f7b03b2dd53e,12341016,45671772,LOAN,5,1700,2,61,165500
1034,b9870182-e741-4c58-ab52-d9fc6b9d0d54,12341228,45671166,LOAN,9,1561,2,15,277500
1035,ba351eae-10ba-41fd-957e-90e95b9074a9,12341088,45671542,LOAN,8,2452,3,16,309000
1036,25989427-baeb-4ab8-bbf6-3d3db02087d3,12341093,45671926,LOAN,5,1097,2,26,145000
1037,3ac04f48-183d-417f-923f-d5f0412cb4a0,12341116,45671776,LOAN,5,1297,2,66,153000
1038,0e0bdd73-8c82-4d06-b9bd-25f290950942,12341068,45671935,LOAN,5,1057,1,67,109000
1039,c5274086-e63b-48e4-adff-d87f4983b914,12341124,45671833,LOAN,4,1152,0,65,82000
1040,114908fa-b742-4163-8f4c-ed9d48e7c9e0,12341050,45671591,LOAN,6,1324,2,55,160000
1041,fedc7de2-d334-43cc-8748-29b4ac93303a,12341004,45671833,LOAN,5,1328,1,61,170000
1042,e0ca5100-70ef-4a1e-b04d-1bb8d53c2989,12341030,45671285,LOAN,5,884,2,37,144000
1043,bf0ec944-b12f-4a20-8c04-b572fa5d0ff5,12341229,45671485,LOAN,5,938,1,45,130250
1044,125b32e1-1c37-44bc-92f2-b9d97bd721f7,12341229,45671386,LOAN,5,1150,1,61,141000
1045,0dbf7157-90ec-4356-b4b8-05efbc062f28,12341014,45671070,LOAN,9,1752,2,15,319900
1046,84866c6c-a25d-467e-95c1-1881d75b3d02,12341236,45671938,LOAN,7,2149,2,17,239686
1047,2a4159fc-9b4c-4fb5-912b-67d8e32c07fd,12341053,45671939,LOAN,8,1656,3,14,249700
1048,a065671e-39b2-4a0b-8dfd-d982ae4aa834,12341213,45671624,LOAN,4,1452,0,100,113000
1049,735314d1-d289-43e0-a173-45e952ac94b1,12341123,45671803,LOAN,5,955,1,54,127000
1050,7e7a0345-c606-4a3a-981d-cdef888b7350,12341070,45671234,LOAN,6,1470,2,23,177000
1051,8cf96fe6-76e9-46d6-b289-28d34979c462,12341001,45671332,LOAN,6,1176,2,86,114500
1052,35f950df-b684-4d17-a7e7-1df93051f582,12341079,45671165,LOAN,5,816,2,57,110000
1053,d26b8399-e00c-41c8-91cd-57d8565e4fa6,12341103,45671185,LOAN,9,1842,3,39,385000
1054,92a6d1dd-4a77-4c17-b5f9-caa3419fad62,12341105,45671371,LOAN,5,1360,2,65,130000
1055,a41a31fd-ba17-4767-a3c5-d159d2b650cc,12341211,45671537,LOAN,6,1425,2,56,180500
1056,450ed6af-7c4e-46b3-8501-e0e3e363bd4d,12341068,45671980,LOAN,8,1739,2,21,172500
1057,94ef8b63-06bc-4e97-b324-aa6da56c2be1,12341179,45671233,LOAN,7,1720,2,16,196500
1058,65716b4d-7aa7-4770-8e80-1e53496e7e4c,12341149,45671371,LOAN,10,2945,3,14,438780
1059,fb2b42c1-a2b6-4bb0-9de2-004a0e3d0078,12341124,45671703,LOAN,5,780,1,48,124900
1060,bb0242fc-f13f-4033-a893-475a877de910,12341128,45671269,LOAN,6,1158,2,16,158000
1061,899b03a9-34fe-4e39-a48e-18f67fb90fd2,12341243,45671233,LOAN,5,1111,1,100,101000
1062,78e5906f-e0aa-4315-92f5-15279bcd57ed,12341073,45671995,LOAN,8,1370,2,14,202500
1063,6a768a25-aeb6-43f9-9884-1c45ab0b8950,12341186,45671160,LOAN,7,1710,2,99,140000
1064,2f054921-7f80-4915-9eea-45f8a0505627,12341003,45671904,LOAN,7,2034,2,23,219500
1065,ac96fbd2-6905-439b-82d6-63a2d0473f8e,12341028,45671390,LOAN,8,2473,3,16,317000
1066,49c82400-cb6e-46ad-9ed2-62c88478c1d7,12341249,45671594,LOAN,7,2207,2,50,180000
1067,79009004-94c8-4bf7-9f80-e6a564dfcc40,12341085,45671235,LOAN,7,1479,2,17,226000
1068,8bcc36a6-d7be-4440-81d3-6bdef1a77d1c,12341121,45671135,LOAN,4,747,1,75,80000
1069,faf94217-4b7d-47d7-a370-830d06f702f8,12341247,45671790,LOAN,7,2287,2,67,225000
1070,dc0cb925-2b8d-4667-a680-5727b455459c,12341116,45671491,LOAN,7,2223,2,47,244000
1071,20860fa5-be4d-4b99-8fd6-05bf1be62d30,12341064,45671455,LOAN,4,845,2,38,129500
1072,d7ee6fb0-9fee-4b3b-a8df-fe8fe4c64854,12341214,45671106,LOAN,7,1718,2,22,185000
1073,0488b3f5-e9ad-45bc-a7fd-d1c426fb8694,12341239,45671873,LOAN,5,1086,2,66,144900
1074,7d1d3371-7328-4cbd-af35-42d176b5cd1e,12341114,45671373,LOAN,3,1605,1,105,107400
1075,4fb1d624-1e50-460c-839f-f71133dac076,12341202,45671747,LOAN,4,988,1,47,91000
